sku_id,irreducible_volatility_cv,chronic_bias_l1,chronic_bias_l2,chronic_bias_l3,random_error_cv_l1,random_error_cv_l2,random_error_cv_l3,n_censored_months,notes
A-01,0.1524772747148916,-0.0235948268915993,-0.1035493711466592,-0.0800808174232869,0.2234420622760861,0.2580533446602897,0.25472580073823,6,
A-02,0.2732740111378839,-0.0377890772278277,-0.0145067387833972,-0.0403344411003069,0.2768486985826957,0.3287940688386992,0.3021677034851326,4,
A-03,0.3225854825470568,0.0523717549126036,-0.0259588937040142,-0.024360086891869,0.3741135897413022,0.4598928969841253,0.4660498927367681,0,
A-04,0.2634996989885074,0.0189657510780181,0.0491037278033592,0.0204955576938812,0.3894746234135821,0.477331605749918,0.4439309034651046,0,
A-05,0.3571360230830665,0.1130648350708423,0.2081617477036477,0.2551842392456854,0.5604410465156326,0.5808286940757658,0.63219233928913,0,
A-06,0.354863012926022,0.0503206464512658,0.1616508513821725,0.0041761687688527,0.4644995680309966,0.5236270421811311,0.5180604314950447,0,
A-07,0.3403638187305058,-0.0047042031240863,0.0387782138890202,-0.0444525938664109,0.430530633607476,0.5241295498037214,0.4359626427822638,1,
A-08,0.242574817215182,0.0786407112306231,0.1257365905469324,0.0935846897930872,0.3004117925639341,0.3262784670799497,0.3363835250245604,0,
A-09,0.2309161441456023,-0.0341850574351405,-0.0824435674551375,-0.12839228592067,0.1522707467442442,0.1709914043550703,0.2516621871016963,8,
A-10,0.4396061245719048,0.0305793127172836,0.0611577110737516,0.0450705960826551,0.5220206396797641,0.502233728129174,0.5161166868544813,3,
A-11,0.2501204229549566,0.076487277537835,0.0959956492409023,0.109128822748937,0.2655684759078521,0.334731968865746,0.3059358652630758,0,
A-12,0.1499999888004037,0.0330684229409953,0.0503662826724152,0.0381119236118871,0.1469200829836632,0.1719921073675828,0.1835652192644239,0,
A-13,0.4248408759875052,-0.1961849145920504,-0.1500423224018739,-0.1854476940127943,0.4791253263341948,0.5793797600332518,0.4609866376847238,9,2 month(s) dropped: actual_units missing or <= 0
A-14,0.347539205293141,0.1479410597889736,0.1024437182973283,0.0340330565649654,0.4239492588757408,0.5098458871745278,0.4992898205647457,0,
A-15,0.3891991891637532,-0.0077136567701123,-0.1198200540875632,-0.0580076912010868,0.4315198706722391,0.4055169870170295,0.6282868191724502,2,
A-16,0.2028135211900511,-0.0613760670512312,-0.1144012957217172,-0.1296016420866933,0.1689544718676656,0.2141673187243776,0.2638270730208449,10,
A-17,0.2298346796073779,0.1081842665959655,0.171732100058956,0.2114503973614315,0.2471481568251309,0.2521187196645068,0.3050984033548818,0,
A-18,0.3688594200254079,0.1519416200246982,0.0960655168575274,0.0633586818859509,0.4436297185185072,0.5834196615693524,0.613167396680575,0,
A-19,0.3429801810030536,0.0406409078085805,-0.0416849975823512,-0.1539985762144236,0.4246578994351219,0.4770741592542046,0.5560268367688708,1,1 month(s) dropped: actual_units missing or <= 0
A-20,0.2822734926149376,0.0338293336782561,0.0344857979540604,0.0244192499483147,0.3438030389104213,0.3877894741741998,0.4709109855255993,0,
A-21,0.1593736461255869,0.0449460785179537,0.0354219006386284,-0.007451326858932,0.184495084886118,0.153818786600766,0.2322615093480918,0,
A-22,0.2818054168500238,-0.0898818335366542,-0.1058151750965412,-0.2084490583708723,0.3296482951053816,0.3555163974159038,0.3617812317142655,10,
A-23,0.3890254141260297,0.1508035785434433,0.1791861257212074,0.125887144953471,0.4203596330224469,0.5186155349687223,0.5841903490122189,0,
A-24,0.2117666194512454,-0.0862941051783112,-0.1372226683310083,-0.2086347575135206,0.2917710868508473,0.3230112237095456,0.3478345309468273,9,
A-25,0.2006793329763416,0.0724181103872781,0.1080942525679508,0.0379379835785605,0.2229535447045788,0.3090379644597966,0.3316197758721999,3,
A-26,0.3159491484810471,-0.0834956624900358,-0.2401636803304299,-0.1979435042807821,0.4245205847667406,0.4071734028850159,0.5951227422831734,6,1 month(s) dropped: actual_units missing or <= 0
A-27,0.4244357796445266,0.0087659422184217,0.0549663825711827,0.2274576574343086,0.3965742440390152,0.5622248429219521,0.6617865945675604,1,
A-28,0.3266543749881355,0.068346280080479,-0.0240720422084913,-0.050059897479576,0.3665258514690334,0.4844843939098113,0.4912132605112551,0,
A-29,0.2002604624009772,0.024017390515795,0.0461253126253353,-0.0130791718475488,0.2502203029492785,0.2842303233703481,0.2951797390106006,4,
A-30,0.2567536018042574,-0.0169354069839054,0.0070744200578689,0.0157966900373249,0.3159445470860846,0.38212272541414,0.4424121047435836,8,
A-31,0.3304505063150753,0.0071202973105087,0.0302278534884116,0.0281590459019601,0.3995071052960234,0.4160438502939169,0.6388191829215736,0,
A-32,0.1944385053170657,-0.0882315198078312,-0.1704846940956918,-0.2045442685089753,0.1485241180504306,0.1690212893367223,0.1806519325849535,14,
A-33,0.3162247726222359,0.0458299305394763,-0.0060288173191408,-0.0033070802482496,0.3721255970618343,0.4828648471167717,0.5439246338903451,0,
A-34,0.2656473999010828,-0.0094070347278607,-0.022532587055303,-0.1591652495462787,0.2650082243960296,0.2677922477325837,0.3234756352498571,4,
A-35,0.3477625702328976,0.0778244645254815,0.1602307665144846,0.0989590624352434,0.4331293183952279,0.5633970511469314,0.4702222309295365,0,
A-36,0.3321402142487626,0.2143532214409385,0.1521559877951508,0.2159676971171711,0.4422958138586368,0.4861579666135571,0.6376993994243229,0,
A-37,0.1184619593610114,0.060109726226293,0.0480313578076169,0.0654074164438631,0.1586676682573123,0.1674633088130971,0.2000466809057196,0,
A-38,0.2652079000851327,-0.0464188180688891,-0.1599953051128838,-0.1457328561574125,0.2848783184856006,0.3219628714145376,0.3399761619294144,6,
A-39,0.163212307495643,-0.0602728217102175,-0.0755418373683503,-0.0996784637788413,0.1469298080356258,0.1609265734166703,0.1368237749792447,9,
A-40,0.1304038680571664,0.0708144606317503,0.0817157119483044,0.1307565711291201,0.1420316424703579,0.1783182507661078,0.254486243552483,0,
A-41,0.3784384990681407,0.0429306244504231,-0.0025078160267058,0.0405529974086086,0.4766067017799448,0.4196403624695874,0.5609656308511588,1,
A-42,0.2075472062733687,-0.0580097450228994,-0.0385479444464699,-0.0536492938965025,0.2552235248222048,0.3164235579373155,0.3238771854927879,7,
A-43,0.4624640391343813,0.1030426576479917,0.1042115353930503,0.0018836876388499,0.4596009023273419,0.4938622381441469,0.600278540673671,0,
A-44,0.4009494985515865,-0.0372512856233211,-0.0815099771365898,-0.0270198303570629,0.5735720867989225,0.4958825632040047,0.5639209723023333,1,
A-45,0.2937474965031477,0.0890682209863746,0.1835350111847151,0.0786126145102987,0.402226193317149,0.3931237963404178,0.4478598859958807,0,
B-01,0.1382546683554517,0.0016162898105775,0.0135379953719583,0.0427743512897431,0.1701645542184506,0.1808700976932179,0.1648289774013228,0,
B-02,0.3565648893853011,0.0613598800737255,0.0091129389796137,-0.0770639847077637,0.4571951399941117,0.388557946370819,0.4765030456834732,0,
B-03,0.3341343242801995,0.2381962963429248,0.2197051889464269,0.2306524288034237,0.505217377093925,0.5206148017503708,0.6591393428277125,0,
B-04,0.2258181627919612,-0.0074725506562428,0.0343592948472277,-0.0231413290000107,0.3045137452019398,0.2821904875635462,0.3712522529063946,0,
B-05,0.2893779050845675,0.0451380778829626,0.164300539409312,0.0919256605262646,0.3436226360030848,0.3872671143005478,0.5352748143141022,0,
B-06,0.3806109344812297,0.0513015664288073,-0.0051458927955136,0.0737290397844005,0.4708146639662173,0.430135073346968,0.5158234728628062,0,
B-07,0.1201752773920976,0.0637899452894149,0.0595319157661399,0.0585032418370626,0.1358586224092509,0.1665534399740718,0.2058973982166442,0,
B-08,0.2214392701133611,0.0498716846675217,0.0337059845162367,0.0865920389997995,0.2214155463784236,0.2125419469963355,0.3115753795485996,0,
B-09,0.1536246186742942,-0.0100633974884063,0.0489614973918251,0.0512288169120138,0.1429527603810258,0.181547322228503,0.1962209703591751,1,
B-10,0.3148095468409596,0.0581914653614622,-0.0138016282731583,0.045427286903794,0.3810553807280458,0.4124403320938704,0.6021807829159846,0,
B-11,0.2209882827048035,0.019665813806841,0.0162179360353324,-0.0971668198960818,0.2887728213160517,0.2962566822520793,0.310564858533249,1,
B-12,0.2501848539905633,0.0475771871618583,-0.0401600000254161,-0.0721064737601261,0.3124755663728791,0.2773447214641842,0.3200299888917828,0,
B-13,0.1602665436758862,0.0193421652697613,0.0350589058661504,-0.0022026748417016,0.1679796960795382,0.1934427373163146,0.1672589871700079,0,
B-14,0.3249009810803636,0.1039044416850306,0.0774753451002306,0.0404049256735466,0.3454689467881256,0.500709791207139,0.6660462222217256,0,
B-15,0.2540343193896884,0.0732511243745428,0.0758420327728729,0.0284119349082035,0.2820376495276216,0.3242927578754914,0.3611533103125786,0,
